gene,cluster
12945_00001,dnaA
12945_00002,dnaN
12945_00003,recF
12945_00004,gyrB
12945_00005,group_1835
12945_00006,glyS
12945_00007,glyQ
12945_00008,tag
12945_00009,group_948
12945_00010,tolB_1
12945_00011,group_586
12945_00012,tusA
12945_00013,rpfG_1
12945_00014,fadA
12945_00015,fadB
12945_00016,pepQ
12945_00017,yigZ
12945_00018,trkH
12945_00019,hemG_1
12945_00020,hlyU_1
12945_00021,hemG_2
12945_00022,speG
12945_00023,trkI
12945_00024,trkA
12945_00025,rsmB_1
12945_00026,fmt
12945_00027,def_1
12945_00028,group_9106
12945_00029,dprA
12945_00030,smg
12945_00031,group_1033
12945_00032,topA_1
12945_00033,tsaC
12945_00034,hemF
12945_00035,yjbI
12945_00036,aroE
12945_00037,group_1072
12945_00038,caiE_1
12945_00040,group_8267
12945_00041,group_1892
12945_00042,nsrR
12945_00043,group_9535
12945_00044,group_10104
12945_00045,envC
12945_00046,gpmI
12945_00047,glpE_1
12945_00048,secB
12945_00049,gpsA
12945_00050,group_10005
12945_00051,cusA
12945_00052,cusB
12945_00053,group_9790
12945_00054,group_1073
12945_00055,group_1241
12945_00056,group_1242
12945_00057,torC_1
12945_00058,iutA_1
12945_00059,rpsA_1
12945_00060,ltaS2
12945_00061,group_9801
12945_00062,bioH
12945_00063,group_1243
12945_00064,nfuA
12945_00065,dinF
12945_00066,pgaB
12945_00067,cheB_1
12945_00068,cheR
12945_00069,tsr
12945_00070,cheW_1
12945_00071,cheA_1
12945_00072,cph2_1
12945_00073,group_1897
12945_00074,group_3229
12945_00075,ctaB
12945_00076,ctaA
12945_00077,group_861
12945_00078,group_1244
12945_00079,group_2557
12945_00080,ctaE
12945_00081,ctaG
12945_00082,ctaD
12945_00083,ctaC
12945_00084,sulA
12945_00085,lexA
12945_00086,plsB
12945_00087,mtr
12945_00089,fhuA
12945_00090,group_1900
12945_00091,group_10099
12945_00092,rna
12945_00093,group_1498
12945_00094,group_8067
12945_00095,group_8242
12945_00096,greB
12945_00097,modE
12945_00098,modA_1
12945_00099,modB_1
12945_00100,cysA_1
12945_00101,cph2_2
12945_00102,envZ
12945_00103,ctpL
12945_00104,garA
12945_00105,group_2559
12945_00106,ankX
12945_00107,rsmJ
12945_00108,rlmJ
12945_00109,group_862
12945_00110,mltF_1
12945_00111,group_1901
12945_00112,group_2560
12945_00113,abgT
12945_00114,cdhR
12945_00115,inhA
12945_00116,group_770
12945_00117,fieF_1
12945_00118,hmp
12945_00119,ycaO
12945_00120,group_3683
12945_00121,hutI_1
12945_00122,dasR
12945_00123,hutU
12945_00124,hutH_1
12945_00125,group_771
12945_00126,group_9712
12945_00127,ybdG
12945_00128,rhtB_1
12945_00129,group_2562
12945_00130,group_3684
12945_00131,group_1501
12945_00132,group_587
12945_00133,group_2563
12945_00134,group_3259
12945_00135,group_8869
12945_00136,ygjK
12945_00137,group_949
12945_00138,ina
12945_00139,ubiC
12945_00140,group_9104
12945_00141,rlmF
12945_00142,group_8872
12945_00143,fdhD_1
